# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [HATT 0%] ForgetHATT(forget_cache_size=100, forget_percentage=0)
# [HATT 10%] ForgetHATT(forget_cache_size=100, forget_percentage=0.1)
# [HATT 25%] ForgetHATT(forget_cache_size=100, forget_percentage=0.25)
# [HATT 50%] ForgetHATT(forget_cache_size=100, forget_percentage=0.5)
# [HATT 75%] ForgetHATT(forget_cache_size=100, forget_percentage=0.75)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=100000, max_time=inf, metrics=['accuracy'], n_wait=200, output_file='log.log', pretrain_size=200, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[HATT 0%],current_acc_[HATT 0%],mean_acc_[HATT 10%],current_acc_[HATT 10%],mean_acc_[HATT 25%],current_acc_[HATT 25%],mean_acc_[HATT 50%],current_acc_[HATT 50%],mean_acc_[HATT 75%],current_acc_[HATT 75%]
200,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
399,0.990000,0.990000,0.975000,0.975000,0.975000,0.975000,0.970000,0.970000,0.970000,0.970000
599,0.987500,0.985000,0.982500,0.990000,0.982500,0.990000,0.980000,0.990000,0.980000,0.990000
799,0.988333,0.990000,0.975000,0.960000,0.981667,0.980000,0.968333,0.945000,0.975000,0.965000
999,0.988750,0.990000,0.978750,0.990000,0.983750,0.990000,0.975000,0.995000,0.980000,0.995000
1199,0.826000,0.175000,0.828000,0.225000,0.834000,0.235000,0.806000,0.130000,0.805000,0.105000
1399,0.723333,0.210000,0.740000,0.300000,0.721667,0.160000,0.697500,0.155000,0.687500,0.100000
1599,0.655714,0.250000,0.682857,0.340000,0.661429,0.300000,0.627857,0.210000,0.612143,0.160000
1799,0.604375,0.245000,0.633750,0.290000,0.612500,0.270000,0.570625,0.170000,0.561250,0.205000
1999,0.565000,0.250000,0.592778,0.265000,0.571111,0.240000,0.522222,0.135000,0.515556,0.150000
2199,0.589500,0.810000,0.598500,0.650000,0.596500,0.825000,0.563500,0.935000,0.559500,0.955000
2399,0.619545,0.920000,0.625455,0.895000,0.625909,0.920000,0.595909,0.920000,0.590909,0.905000
2599,0.650000,0.985000,0.654167,0.970000,0.654167,0.965000,0.625833,0.955000,0.620833,0.950000
2799,0.675385,0.980000,0.668462,0.840000,0.667692,0.830000,0.641538,0.830000,0.646538,0.955000
2999,0.698214,0.995000,0.690357,0.975000,0.678214,0.815000,0.625000,0.410000,0.670000,0.975000
3199,0.664667,0.195000,0.658000,0.205000,0.650667,0.265000,0.594333,0.165000,0.636000,0.160000
3399,0.636875,0.220000,0.633750,0.270000,0.628125,0.290000,0.571250,0.225000,0.611875,0.250000
3599,0.613824,0.245000,0.620000,0.400000,0.611765,0.350000,0.552059,0.245000,0.592647,0.285000
3799,0.594722,0.270000,0.601389,0.285000,0.591944,0.255000,0.533889,0.225000,0.576944,0.310000
3999,0.577895,0.275000,0.586579,0.320000,0.575789,0.285000,0.520263,0.275000,0.560526,0.265000
4199,0.592500,0.870000,0.604500,0.945000,0.561250,0.285000,0.499500,0.105000,0.579000,0.930000
4399,0.607381,0.905000,0.622381,0.980000,0.575714,0.865000,0.510952,0.740000,0.597619,0.970000
4599,0.616591,0.810000,0.636818,0.940000,0.581591,0.705000,0.514318,0.585000,0.612500,0.925000
4799,0.632826,0.990000,0.651957,0.985000,0.588696,0.745000,0.520652,0.660000,0.627609,0.960000
4999,0.647708,0.990000,0.666458,1.000000,0.580625,0.395000,0.533125,0.820000,0.643125,1.000000
5199,0.634400,0.315000,0.653600,0.345000,0.569400,0.300000,0.525200,0.335000,0.628800,0.285000
5399,0.624038,0.365000,0.641538,0.340000,0.562115,0.380000,0.520192,0.395000,0.620577,0.415000
5599,0.613519,0.340000,0.627407,0.260000,0.552037,0.290000,0.517593,0.450000,0.612407,0.400000
5799,0.603929,0.345000,0.618750,0.385000,0.545000,0.355000,0.514464,0.430000,0.602143,0.325000
5999,0.595345,0.355000,0.609483,0.350000,0.537931,0.340000,0.511379,0.425000,0.595862,0.420000
6199,0.601500,0.780000,0.621833,0.980000,0.545167,0.755000,0.525500,0.935000,0.608500,0.975000
6399,0.613871,0.985000,0.609839,0.250000,0.554516,0.835000,0.530806,0.690000,0.603871,0.465000
6599,0.615938,0.680000,0.602031,0.360000,0.560000,0.730000,0.544375,0.965000,0.615156,0.965000
6799,0.618030,0.685000,0.613182,0.970000,0.569697,0.880000,0.557121,0.965000,0.625606,0.960000
6999,0.629265,1.000000,0.623676,0.970000,0.582059,0.990000,0.569559,0.980000,0.636618,1.000000
7199,0.620571,0.325000,0.615286,0.330000,0.575571,0.355000,0.562000,0.305000,0.628286,0.345000
7399,0.614583,0.405000,0.606528,0.300000,0.571111,0.415000,0.557917,0.415000,0.621944,0.400000
7599,0.609459,0.425000,0.599730,0.355000,0.564730,0.335000,0.554459,0.430000,0.617297,0.450000
7799,0.602105,0.330000,0.593947,0.380000,0.561316,0.435000,0.550789,0.415000,0.613158,0.460000
7999,0.596795,0.395000,0.589231,0.410000,0.558333,0.445000,0.550385,0.535000,0.608846,0.445000
8199,0.605375,0.940000,0.599125,0.985000,0.568125,0.950000,0.561125,0.980000,0.616750,0.925000
8399,0.612927,0.915000,0.606951,0.920000,0.560366,0.250000,0.571098,0.970000,0.624390,0.930000
8599,0.613571,0.640000,0.605595,0.550000,0.553690,0.280000,0.574524,0.715000,0.626429,0.710000
8799,0.618605,0.830000,0.598372,0.295000,0.557674,0.725000,0.583721,0.970000,0.634651,0.980000
8999,0.626705,0.975000,0.607273,0.990000,0.557386,0.545000,0.593068,0.995000,0.642159,0.965000
9199,0.622000,0.415000,0.602556,0.395000,0.554778,0.440000,0.591444,0.520000,0.639222,0.510000
9399,0.618913,0.480000,0.597065,0.350000,0.552283,0.440000,0.590326,0.540000,0.639130,0.635000
9599,0.617021,0.530000,0.592660,0.390000,0.551489,0.515000,0.589681,0.560000,0.638511,0.610000
9799,0.615313,0.535000,0.589375,0.435000,0.549375,0.450000,0.588646,0.540000,0.640104,0.715000
9999,0.614082,0.555000,0.587041,0.475000,0.547245,0.445000,0.589286,0.620000,0.640102,0.640000
